ECG,Filtered ECG,R peaks,Heart rate
336.72,-20.07454,,
330.86398,-19.58902,,
323.91,-12.019774,,
346.236,1.5356323,,
324.642,17.014013,,
346.602,27.344664,,
339.28198,25.948315,,
323.544,12.034161,,
342.942,-7.046026,,
322.08,-19.744864,,
310.734,-18.632658,,
330.498,-6.56313,,
346.968,5.0407147,,
317.322,5.287585,,
337.818,-6.7787285,,
322.812,-20.55056,,
321.714,-22.057627,,
330.86398,-5.7720656,,
343.674,19.700745,,
340.38,37.210697,,
340.014,34.00204,,
329.766,11.8846035,,
328.668,-13.594473,,
324.642,-24.658104,,
327.936,-14.758892,,
329.4,6.3542285,,
338.55,19.934694,,
329.766,12.513993,,
319.152,-13.457816,,
329.034,-40.52616,,
314.76,-48.193996,,
322.812,-27.491268,,
341.844,12.121864,,
338.916,48.403603,,
340.746,60.70101,,
345.138,43.22152,,
342.576,8.201,,
320.25,-22.994856,,
316.224,-34.394325,,
337.818,-25.258781,,
312.93,-8.452256,,
325.008,0.9196194,,
342.576,-2.4352655,,
323.178,-10.725753,,
317.688,-11.043889,,
323.178,2.182646,,
342.942,20.960299,,
329.034,29.554447,,
339.648,18.062576,,
321.714,-7.66779,,
325.74,-28.905607,,
324.276,-28.436872,,
325.74,-5.1379104,,
344.406,23.717867,,
341.112,35.32866,,
329.4,19.655493,,
337.086,-11.77527,,
330.132,-34.32378,,
311.832,-29.718504,,
336.72,-1.0074221,,
340.38,29.304094,,
342.21,36.749245,,
338.55,14.182255,,
322.44598,-22.461468,,
315.126,-46.34348,,
323.91,-40.014248,,
339.648,-7.958565,,
330.498,27.76357,,
344.04,44.432354,,
334.158,34.554302,,
337.452,9.105577,,
335.256,-12.800084,,
314.76,-18.514866,,
321.348,-9.491237,,
334.88998,2.496586,,
338.916,5.888339,,
315.492,-2.1534867,,
321.714,-14.954232,,
326.106,-22.335552,,
320.25,-17.994383,,
331.596,-3.1867006,,
342.576,14.702493,,
322.812,26.720694,,
340.014,27.035078,,
343.674,15.649885,,
333.426,-1.6646106,,
342.942,-16.15362,,
315.858,-20.59673,,
333.792,-13.459228,,
342.942,-0.054461386,,
347.69998,10.618961,,
319.884,11.79225,,
346.602,3.5827937,,
331.23,-7.204902,,
324.642,-12.232706,,
329.4,-7.882208,,
327.936,2.248142,,
337.452,10.4503355,,
320.616,10.919333,,
337.818,3.7908373,,
327.57,-5.683271,,
319.152,-11.487587,,
325.008,-10.780462,,
339.28198,-4.6010776,,
339.28198,4.0955014,,
322.08,12.376019,,
346.236,17.565557,,
344.772,16.808605,,
341.112,8.099246,,
329.4,-7.019269,,
340.38,-21.844296,,
325.374,-27.125916,,
338.55,-17.555138,,
348.432,2.6689556,,
323.178,20.780308,,
342.21,23.838549,,
349.164,8.859482,,
330.132,-13.671225,,
323.544,-26.753096,,
318.786,-19.638752,,
334.524,3.5833364,,
341.112,26.774271,,
340.014,33.99562,,
339.28198,21.47896,,
325.74,-0.2801263,,
325.374,-15.718572,,
332.694,-16.784704,,
323.91,-8.428847,,
342.576,-2.8203382,,
343.674,-7.740326,,
315.858,-19.330835,,
322.08,-25.33962,,
347.69998,-15.89633,,
344.04,7.439917,,
346.968,31.930737,,
345.87,42.87636,,
342.576,34.23078,,
341.478,12.356732,,
348.066,-9.393119,,
322.08,-20.351288,,
341.112,-18.908003,,
323.544,-11.515982,,
335.256,-6.3406734,,
325.008,-7.122322,,
338.916,-11.535861,,
330.132,-14.138268,,
316.224,-10.728283,,
339.28198,-0.8793274,,
325.74,12.299354,,
338.55,23.997257,,
337.086,29.631884,,
346.602,26.34063,,
329.034,14.1779175,,
319.152,-3.2228105,,
346.602,-19.405325,,
320.982,-27.771503,,
322.44598,-25.156271,,
344.04,-13.942863,,
325.008,-0.8254747,,
335.622,7.365224,,
345.504,7.972779,,
334.158,3.816461,,
336.354,0.53591704,,
329.766,2.0712123,,
341.112,7.756221,,
338.916,13.105408,,
335.988,13.40741,,
344.406,7.181826,,
318.054,-3.0030797,,
345.504,-12.516466,,
324.276,-17.512203,,
344.04,-16.515842,,
319.884,-10.206997,,
338.916,-0.479596,,
342.576,9.991376,,
337.086,17.695415,,
343.674,18.873491,,
340.38,11.465468,,
325.374,-2.5667467,,
324.642,-16.78606,,
334.158,-23.160158,,
325.74,-17.12438,,
332.328,-1.3443434,,
323.178,15.089673,,
324.642,22.222616,,
343.674,15.979156,,
335.988,1.1649508,,
315.492,-11.776082,,
314.02798,-14.158786,,
335.988,-5.268251,,
333.792,7.237928,,
343.674,13.090576,,
320.25,7.0782375,,
331.962,-7.051423,,
327.204,-19.290146,,
348.066,-20.585728,,
319.518,-9.24211,,
325.008,8.049623,,
348.798,21.025198,,
341.112,22.775946,,
344.04,13.819638,,
313.662,0.7743982,,
321.714,-8.839793,,
346.968,-11.553635,,
